Time (ms), PV cell voltage (mV), Biosensor current (nA)
141551,491.25,1192.625,
141755,493.625,1184.75,
141959,489.5,1183,
142162,493,1191.875,
142364,492.25,1182.375,
142567,489.5,1190.375,
142785,493.5,1191.125,
142973,490,1181.25,
143177,491.25,1191.25,
143380,493.625,1185.125,
143583,489.5,1183.625,
143786,493,1193,
143989,492.5,1182.625,
144194,489.375,1188.25,
144396,493.375,1191.625,
144599,490.375,1182.125,
144802,490.375,1192.25,
145005,493.625,1187.25,
145208,489.625,1181.875,
145411,492.5,1191.875,
145614,493.125,1183.5,
145817,489.375,1187.25,
146020,493.375,1192.875,
146223,490.875,1181.375,
146427,489.875,1190.375,
146630,493.625,1189.875,
146832,489.75,1181.875,
147036,492,1192.875,
147240,493.5,1183.875,
147442,489.5,1184.25,
147656,493.25,1192.625,
147848,491.25,1182.25,
148051,489.625,1190.25,
148255,493.625,1190.875,
148458,490,1181.25,
148660,491.5,1191.625,
148864,493.625,1185,
149067,489.375,1184.125,
149270,493,1192.75,
149473,492.25,1182,
149676,489.5,1189.125,
149879,493.5,1191.5,
150083,490.125,1182.375,
150285,490.875,1192.125,
150488,493.75,1185.25,
150692,489.625,1181.875,
150895,493,1193.125,
151097,492.75,1183.5,
151301,489.375,1188.625,
151517,493.5,1192,
151707,490.625,1180.625,
151911,490.375,1191,
152114,493.75,1187.75,
152317,489.625,1182.625,
152520,492.75,1192.375,
152723,493,1182,
152926,489.5,1187.5,
153129,493.5,1192.625,
153333,490.625,1182.25,
153536,490.25,1191.375,
153754,493.75,1187.625,
153971,489.75,1181.25,
154144,492.5,1192.5,
154348,493.25,1184,
154550,489.375,1185.5,
154753,493.375,1192.125,
154957,491.375,1181.625,
155160,489.75,1190.625,
155364,493.625,1191,
155567,489.875,1182.125,
155770,492,1191.875,
155972,493.5,1183.875,
156175,489.5,1183.875,
156379,493.25,1193.125,
156582,491.5,1182.75,
156785,489.75,1190.25,
156989,493.625,1189.625,
157191,490,1181.25,
157394,491.625,1192.25,
157597,493.5,1185.25,
157800,489.5,1183.375,
158004,493,1191.75,
158207,492.375,1182,
158410,489.5,1189.375,
158613,493.5,1192,
158817,490.125,1181.75,
159020,490.875,1191.375,
159222,493.625,1184.5,
159426,489.5,1182.875,
159629,493,1192.75,
159832,492.5,1182.875,
160035,489.5,1188.5,
160238,493.5,1190.75,
160441,490.25,1181.25,
160643,490.625,1191.875,
160847,493.625,1186.5,
161050,489.625,1182.25,
161254,492.875,1191.625,
161457,492.75,1182.125,
161659,489.375,1188.25,
161862,493.375,1192.375,
162065,490.375,1181.375,
162269,490.5,1190.875,
162472,493.625,1185.625,
162675,489.625,1181.875,
162878,492.625,1192.375,
163081,492.75,1182.75,
163284,489.375,1186.25,
163487,493.375,1191,
163690,490.75,1180.875,
163893,490,1190.625,
164097,493.5,1189.375,
164299,489.75,1180.75,
164503,492.25,1191,
164706,493.375,1182.875,
164909,489.375,1184.75,
165113,493.125,1192.875,
165315,491.625,1182,
165518,489.5,1189.5,
165722,493.5,1189.625,
165925,490,1181.375,
166128,491.125,1192.25,
166331,493.5,1185.375,
166534,489.5,1182.625,
166737,493,1191.625,
166941,492.5,1182.25,
167143,489.375,1189.375,
167346,493.375,1192.375,
167549,490.375,1181.625,
167752,490.375,1190.5,
167956,493.625,1186.625,
168159,489.625,1182.25,
168362,492.625,1192.875,
168565,493,1183.25,
168768,489.375,1185.875,
168973,493.375,1191.875,
169175,490.875,1181.75,
169379,490,1191.5,
169581,493.625,1190,
169785,489.75,1181.5,
169987,492.375,1191.75,
170190,493.125,1182.875,
170393,489.5,1186.875,
170596,493.375,1193,
170800,490.75,1181.875,
171003,490,1190.625,
